"code","rvb_fond","nom","poly"
"bd","140-40-0","Bangladesh","154,383,167,384,169,382,168,378,165,374,164,375,163,372,166,369,166,367,159,367,156,365,153,363,151,364,153,367,151,369,153,373,154,377"
"bt","140-80-0","Bhoutan","166,362, 165,360, 163,360, 159,359, 156,361, 158,363, 164,363"
"bn","140-120-0","Brunei Darusalam","247,447,246,441,253,440,253,443,251,446"
"kh","140-140-0","Cambodge","204,416,207,423,211,424,216,422,222,417,222,412,220,409,216,411,214,411,210,409,206,410"
"cn","140-180-0","Chine","123,292,122,294,114,299,103,303,100,305,100,311,103,313,104,318,107,321,112,325,114,326,119,323,124,327,122,331,120,335,121,337,119,340,119,344,126,347,132,347,144,357,158,357,160,356,162,357,168,357,179,351,184,355,190,358,191,365,188,369,188,372,192,374,193,379,197,382,201,383,200,380,201,379,202,378,210,378,214,376,217,377,219,379,220,382,221,382,222,383,225,382,228,382,230,385,230,388,228,390,225,392,226,394,229,395,230,395,235,391,234,388,234,385,234,383,238,382,240,382,246,379,256,377,260,373,264,368,273,354,274,348,273,341,269,331,264,327,272,321,276,319,283,305,284,302,293,298,297,298,296,295,300,295,305,291,308,285,307,280,311,278,313,279,319,266,319,263,308,267,305,263,304,260,293,255,286,236,275,234,268,238,270,243,265,255,260,256,252,255,252,266,263,265,265,268,265,272,264,273,256,273,252,278,249,278,244,282,239,281,236,285,237,289,231,294,221,294,214,297,211,296,205,295,202,294,199,292,196,292,192,292,182,291,174,283,168,280,163,280,161,279,161,269,157,266,155,264,152,261,147,260,144,263,143,269,141,270,136,270,133,272,132,273,131,280,128,280,125,281,124,284,124,287"
"in","255-0-0","Inde","119,323,109,329,101,326,100,329,101,336,105,340,103,342,101,346,93,357,87,357,84,361,90,370,78,373,88,386,96,384,97,395,97,400,105,418,113,433,123,424,124,404,148,387,149,383,153,382,153,371,150,369,151,367,152,364,155,363,158,365,159,367,167,368,164,373,164,375,167,374,168,377,171,380,172,374,175,372,176,367,179,362,184,359,185,356,182,355,179,351,173,353,170,356,167,358,166,361,164,364,158,363,155,361,154,358,151,358,151,363,146,363,141,363,137,360,132,359,128,358,125,356,123,354,123,350,125,347,117,344,118,338,121,337,119,334,124,327"
"id","255-40-0","Indonésie","171,408,191,447,208,461,211,465,229,455,232,459,237,458,241,457,248,457,255,446,257,446,258,452,261,453,299,452,342,471,343,472,345,493,343,495,278,501,267,499,264,497,223,490,214,486,189,466,177,443,169,428"
"jp","255-200-0","Japon","343,282,340,289,313,325,302,334,303,342,306,345,308,345,343,326,363,282"
"kz","0-100-255","Kazakhstan","125,289,123,284,124,280,127,279,131,278,131,272,135,269,138,269,141,270,143,269,144,262,148,260,148,255,142,255,135,249,132,250,129,249,126,246,124,247,122,246,116,235,109,228,101,234,99,232,98,229,95,229,93,230,91,229,90,228,92,227,91,225,90,223,90,222,83,221,56,231,56,234,52,237,54,239,52,241,52,244,56,247,54,249,46,249,45,247,38,247,36,249,31,248,27,244,22,243,16,245,12,247,9,252,5,251,2,261,3,263,5,265,9,266,10,269,10,270,7,271,8,272,10,273,17,271,18,270,25,270,31,277,30,279,28,278,22,278,20,280,20,282,16,282,16,284,19,286,20,290,24,292,23,296,27,294,30,294,37,299,37,280,46,277,53,271,54,272,55,276,57,279,55,285,57,287,62,288,68,287,72,290,73,296,76,299,82,300,91,293,91,291,93,290,96,292,98,292,103,289,104,290,103,290,103,291,119,291"
"my","140-100-255","Malaisie","256,436,265,443,259,447,255,445,253,446,247,456,239,457,231,458,229,454,210,455,206,455,202,452,198,448,197,445,196,441,195,438,201,440,205,440,207,442,208,446,209,450,238,450,241,450,244,448,245,446,248,447,251,446,253,442"
"mv","160-100-255","Maldives","89,423,87,429,96,463,102,469,105,463,104,442,95,423"
