"code","rvb_fond","nom","poly"
"al","150-150-255","Albanie","346,416,351,422,351,435,356,439,357,444,354,447,352,451,348,454,346,454,339,450,337,444,338,438,341,432,340,427,338,425,340,418"
"de","255-75-75","Allemagne","239,247,254,231,261,234,274,240,292,240,300,250,297,263,295,264,300,269,299,278,301,287,299,292,298,294,287,298,280,299,275,301,276,305,277,312,278,313,288,324,286,327,283,329,279,331,280,340,275,339,266,338,263,342,258,339,253,338,252,340,249,337,247,337,243,334,236,331,236,334,232,334,227,332,228,327,236,314,222,308,220,304,221,296,221,293,223,291,222,287,219,285,219,282,220,281,223,277,224,276,223,273,223,270,227,271,229,270,231,268,233,267,234,266,233,265,231,264,232,261,233,260,235,260,237,258,238,254,238,254"
"an","51-51-51","Andorre","150,389,154,390,155,394,150,394"
"at","179-179-179","Autriche","249,344,249,347,251,347,254,346,256,348,259,349,260,347,270,347,272,352,281,356,284,356,293,358,296,356,306,356,311,350,312,346,316,341,318,341,318,338,316,336,316,329,310,328,307,326,305,326,303,324,300,324,299,328,297,330,291,330,288,329,286,330,285,332,280,334,280,337,282,340,282,342,280,345,276,342,272,342,267,341,264,344,260,344,257,341,255,341,255,343,253,345,251,344,250,341,248,340,247,342"
"be","204-204-204","Belgique","190,275,191,280,196,280,198,285,201,288,201,291,201,293,204,295,206,293,206,292,207,293,208,296,209,298,211,301,213,302,215,302,215,297,215,296,218,295,219,295,222,293,222,290,219,286,218,285,218,283,220,280,220,279,217,277,214,275,212,275,208,275,206,276,203,274,200,273,197,275"
"by","225-255-225","Biélorussie","425,282,429,281,430,283,432,283,438,282,440,283,440,275,443,272,447,269,446,267,447,265,442,259,442,256,444,254,446,254,450,255,454,252,451,248,448,248,445,246,445,244,440,240,439,237,436,236,435,230,433,228,434,224,427,220,425,223,423,223,422,220,420,220,417,221,415,219,412,219,406,225,404,225,401,226,401,228,403,230,403,233,401,235,398,237,396,240,396,248,394,249,392,248,390,250,386,253,381,254,378,253,378,258,381,262,381,271,377,275,380,279,380,284,382,285,384,284,386,281,396,278,401,278,403,280,410,280,413,283,416,283,420,282,422,281"
"ba","255-25-25","Bosnie-Herzégovine","333,402,338,399,338,397,340,396,336,391,338,384,335,384,333,382,326,381,324,382,321,379,314,379,310,380,308,381,305,379,305,382,307,384,307,387,308,390,310,392,315,399,318,402,323,408,323,410,327,410,330,411,330,407,332,405"
"bg","75-75-255","Bulgarie","374,393,392,398,406,395,416,390,425,387,435,393,436,393,429,400,429,411,433,418,415,422,412,423,412,428,403,430,398,431,391,427,385,431,378,428,376,421,373,416,372,409,375,405,374,402"
"cy","0,0,255","Chypre","520,496,515,509,493,517,402"
"gr","175-175-255","Grèce","378,430,385,431,392,428,398,432,406,430,412,430,413,423,417,423,419,428,416,433,413,436,520,496,515,509,493,517,402,522,379,513,363,497,351,480,346,472,348,457,350,455,351,450,355,4499
,355,444,358,438,363,438,367,435"
"hr","255-225-225","Croatie","302,369,302,361,307,360,309,359,313,360,315,360,318,362,320,366,321,368,326,369,329,369,333,369,335,371,335,374,336,377,334,379,332,380,329,379,323,380,322,377,319,377,311,376,306,376,305,376,303,378,303,379,305,383,306,385,306,388,307,392,322,408,326,411,330,414,329,417,322,413,312,411,293,392,283,380,282,370,292,370"
"dk","25-255-25","Danemark","254,205,273,193,286,218,286,234,281,240,271,236,262,233,253,230,249,233"
"es","102-102-102","Espagne","47,363,46,351,52,349,55,349,59,346,63,346,71,351,78,353,83,355,89,359,93,363,98,364,103,365,107,367,114,369,119,372,123,373,125,375,127,378,129,380,131,382,134,385,136,385,140,387,142,388,145,386,150,389,155,392,155,395,157,397,164,399,168,398,169,403,169,405,176,437,139,449,95,465,51,461,37,438,38,433,48,428,43,421,49,418,52,412,47,404,55,404,63,387,68,384,71,382,67,378,67,372,62,374,54,370,49,370,52,363"
"ee","125-255-125","Estonie","403,168,389,168,376,173,372,176,362,178,360,187,362,194,381,191,387,191,394,196,404,195,405,192,401,177,405,175"
"fi","100-255-100","Finlande","401,154,369,167,355,153,354,121,377,86,370,81,364,49,351,36,355,33,360,41,365,38,370,42,374,37,376,35,377,24,384,21,391,26,391,44,396,46,401,51,397,60,399,67,404,73,404,85,407,86,404,91,410,93,410,98,413,102,410,107,420,114,420,125,410,143"
"fr","77-77-77","France","115,291,133,291,144,298,145,284,175,287,179,284,182,277,188,276,191,279,198,282,197,285,201,288,201,293,204,296,206,293,209,298,212,301,215,303,218,305,223,309,229,311,234,313,236,314,230,323,228,327,228,333,226,334,218,333,221,337,208,346,210,350,216,349,218,351,219,355,216,356,215,358,217,363,217,365,211,367,215,382,219,381,219,388,240,402,235,423,230,425,169,397,155,396,154,391,145,386,142,388,133,384,122,372"
"gr","175-175-255","Grèce","378,430,385,431,392,428,398,432,406,430,412,430,413,423,417,423,419,428,416,433,413,436,520,496,515,509,493,517,402,522,379,513,363,497,351,480,346,472,348,457,350,455,351,450,355,449,355,444,358,438,363,438,367,435"
"hu","255-175-175","Hongrie","337,366,339,366,346,363,354,363,357,362,357,360,359,358,360,355,362,353,363,347,368,342,369,340,372,339,373,337,371,337,367,333,363,334,362,331,360,331,355,332,353,331,351,333,346,339,342,338,339,340,336,340,335,342,325,343,320,338,320,342,317,343,315,345,313,352,312,354,313,359,316,362,318,362,320,364,324,369,331,369,335,368"
"ie","0-255-0","Irlande","125,191,114,194,101,196,85,222,84,228,85,235,91,238,120,238,129,226,130,212,125,205,121,207,120,203,120,198"
"is","255-50-50","Islande","98,3,88,24,92,39,103,54,119,57,151,58,161,43,162,25,135,9,124,1"
"it","153-153-153","Italie","216,357,217,365,212,367,215,382,219,381,219,387,232,381,242,385,245,392,249,402,250,409,255,416,217,431,217,454,221,460,276,433,284,439,286,442,288,444,292,449,294,451,259,475,260,482,287,500,291,499,332,450,273,375,281,366,281,360,284,355,277,354,272,351,269,346,259,347,258,349,254,347,251,350,252,351,248,352,246,354,243,351,240,353,240,355,237,357,236,356,232,353,229,356,225,357"
"lv","150-255-150","Lettonie","384,191,360,200,356,206,354,212,356,219,363,215,373,213,376,218,383,215,389,218,395,220,402,225,411,217,408,210,406,205,409,201,401,197,393,196"
"li","0-255-255","Liechtenstein","246,340,244,341,244,346,248,346"
"lt","175-255-175","Lituanie","356,220,362,214,374,214,376,218,380,217,384,216,389,220,393,220,399,225,401,230,398,232,394,236,395,246,391,246,384,250,378,251,372,245,369,239,371,234,364,233,358,231,356,226"
"lu","229-229-229","Luxembourg","220,305,221,301,220,297,219,297,217,300,217,304"
"mk","125-125-255","Macédoine","362,439,366,435,375,435,377,432,377,426,370,418,369,418,366,420,364,420,354,423,353,434,357,439"
"mt","225-225-255","Malte","294,508,290,510,292,516,297,517,301,513,299,509"
"md","25-25-255","Moldavie","436,353,438,353,443,354,443,349,440,348,439,346,440,343,438,343,435,340,435,338,434,335,431,334,430,332,425,332,421,329,418,329,412,330,412,332,416,336,418,341,428,350,428,352,429,356,428,366,429,368,431,367,432,363,435,360,435,357,434,355"
"mc","50-255-255","Monaco","218,390,212,387,211,390"
"no","50-255-50","Norvège","283,175,279,160,275,174,270,175,259,185,246,188,239,170,246,126,262,115,290,96,308,49,359,10,368,7,387,7,401,11,400,23,391,33,391,23,383,20,376,24,375,35,371,41,365,37,360,41,353,33,349,36,345,44,339,44,337,45,334,51,329,53,325,58,327,64,320,75,314,78,307,99,309,103,307,105,303,105,301,106,295,112,294,140,296,143,297,148,292,147,292,161,288,164"
"nl","245-245-245","Pays-Bas","215,252,225,246,236,251,237,254,234,258,232,260,231,261,231,265,234,266,231,267,229,270,226,271,223,270,222,271,223,274,223,278,221,278,217,277,214,275,211,273,208,274,206,275,204,275,200,271,201,269,207,268,212,261,214,258"
"pl","255-100-100","Pologne","302,249,311,248,322,241,334,239,338,245,347,245,354,246,374,246,377,249,376,257,381,261,380,266,376,269,373,273,375,276,378,279,379,285,378,287,380,291,381,294,381,298,380,300,377,303,374,307,370,314,370,317,372,319,370,320,364,316,359,315,356,316,351,317,346,317,345,318,340,315,338,316,337,316,333,311,333,308,330,308,327,306,319,300,318,306,315,302,311,298,300,291,301,287,299,282,299,278,300,272,300,269,294,265,297,262,299,254"
"pt","26-26-26","Portugal","45,366,30,387,22,398,22,405,20,419,19,430,19,433,21,438,27,439,31,439,37,439,38,433,47,428,46,424,44,421,46,419,49,418,52,413,47,403,51,405,54,405,55,404,62,386,68,385,71,382,69,379,67,379,66,373,61,375,55,370,50,370,52,364"
"cz","255-125-125","République Tchèque","316,326,318,327,321,325,323,325,330,326,330,323,335,318,333,315,333,313,331,311,327,311,324,308,323,306,320,305,320,308,316,309,314,307,313,303,312,301,307,299,305,297,301,296,299,298,293,297,290,298,288,300,278,303,277,305,279,307,279,309,278,312,282,316,285,320,288,322,293,328,297,327,297,325,299,322,304,322,306,324,308,324,311,326"
"ro","50-50-255","Roumanie","375,334,394,339,408,331,416,335,418,340,427,350,427,354,427,363,430,369,433,370,439,367,444,368,444,373,442,374,436,377,437,385,434,392,424,388,402,395,391,396,382,395,373,391,371,387,372,384,369,381,366,382,360,382,360,376,356,372,349,364,358,362,363,350,364,343"
"uk","255-0-0","Royaume-Uni","129,192,125,197,121,199,119,204,121,207,125,205,127,209,128,210,131,212,132,214,136,243,127,244,128,249,115,266,120,272,167,279,174,276,183,271,192,253,205,131,194,135,142,154,137,167"
"ru","200-255-200","Russie","345,237,350,234,354,228,362,234,369,234,370,238,369,241,373,246,347,245 488,1,463,21,405,17,400,24,396,29,394,31,393,37,392,39,392,44,393,45,396,46,398,51,399,53,399,57,398,60,398,65,400,69,401,74,403,78,404,83,405,86,406,88,404,90,407,92,409,95,411,98,412,101,414,102,412,104,412,105,413,109,417,111,420,114,422,118,423,119,423,123,422,125,421,129,420,129,419,130,416,134,415,137,413,140,411,142,408,143,406,147,403,150,402,151,401,153,405,169,404,175,402,179,404,198,407,201,407,206,412,215,428,217,436,222,436,223,437,228,437,232,440,237,444,240,446,242,451,244,453,246,454,247,456,249,456,251,452,254,450,255,449,255,447,255,446,254,443,253,442,256,445,258,446,262,448,266,448,268,449,269,451,269,453,269,454,267,455,265,458,263,461,262,467,263,472,268,474,268,474,271,473,274,473,276,477,277,479,276,482,275,485,279,486,283,487,285,489,286,492,284,496,284,500,284,503,282,505,282,511,286,518,286,521,286,525,287,524,0"
"sm","25-255-255","San Marin","267,374,264,371,261,375,262,377"
"sk","255-150-150","Slovaquie","332,341,334,340,335,338,338,338,341,336,346,336,349,333,352,329,355,329,358,330,363,328,364,331,366,331,368,322,361,318,358,318,356,320,350,320,347,322,344,321,342,319,340,319,335,321,332,324,332,327,320,328,318,331,318,335,322,336,326,341"
"si","255-200-200","Slovénie","297,372,299,372,299,370,302,368,302,365,301,363,303,361,306,361,308,359,311,359,311,356,309,355,307,358,297,358,293,361,286,359,284,361,284,365,283,367,285,369,285,371,288,371,295,370"
"se","75-255-75","Suède","306,236,339,204,349,158,347,113,356,103,358,85,362,83,370,81,367,74,367,70,368,68,367,63,365,58,365,55,364,47,348,35,348,41,345,45,337,45,335,52,330,52,325,58,326,64,322,69,320,75,314,79,313,86,307,99,310,101,310,104,306,106,303,105,296,112,294,139,296,141,296,145,296,148,292,149,293,153,293,160,289,163,288,167,287,173,286,177,280,174,281,185,287,215,291,229,301,235"
"ch","128-128-128","Suisse","237,358,239,356,240,353,244,352,245,354,248,354,249,352,252,352,253,349,248,349,244,345,244,342,245,340,244,338,241,338,239,336,232,337,228,336,222,337,222,339,219,342,216,343,213,347,211,348,212,349,216,348,219,350,219,354,221,357,226,357,228,355,230,352,233,352,234,355"
