"code","rvb_fond","nom","poly"
"af","60-140-60","Afghanistan","532,124,524,126,517,122,498,132,494,124,496,119,494,114,488,108,482,114,483,120,474,121,473,127,468,124,458,128,453,124,434,122,430,124,426,124,422,127,422,129,422,135,420,136,416,140,405,144,405,148,402,150,397,153,393,151,390,149,386,150,384,146,381,159,376,165,376,172,378,173,378,175,378,178,376,180,377,185,378,187,378,189,378,192,379,198,380,200,383,199,388,203,388,205,388,210,386,213,382,217,380,221,399,227,439,223,440,208,443,204,453,204,456,201,457,198,464,197,466,199,470,197,472,195,472,191,472,190,471,189,473,187,474,185,474,184,475,181,476,179,477,179,478,178,481,177,482,177,481,173,481,173,481,171,481,168,481,168,484,167,489,167,491,168,491,164,490,162,492,158,492,157,497,155,498,154,498,150,498,146,498,142,495,140,495,140,496,136,502,135,504,133,506,132,509,131,511,131,518,131,520,130,523,129,527,128"
"sa","60-100-60","Arabie Saoudite","143,191,160,196,174,206,180,208,184,211,186,214,192,214,192,223,204,229,226,230,234,234,236,237,242,238,243,238,262,260,263,267,264,272,272,287,281,296,284,305,316,310,319,309,324,316,316,340,283,351,248,358,221,389,220,376,200,370,185,376,182,381,174,366,165,355,159,340,143,329,141,315,142,310,131,290,124,288,121,282,120,276,116,271,111,264,108,258,104,251,101,245,94,242,97,228,109,230,117,220,124,220,125,216,130,211,120,200"
"am","60-180-60","Arménie","221,102,221,99,222,97,221,94,216,91,214,89,214,87,216,86,216,84,211,80,211,74,209,74,206,70,203,70,197,71,193,72,193,74,194,81,197,85,202,88,205,91,208,91,211,93,215,93,217,95,218,100,219,103"
"az","60-240-60","Azerbaïdjan","216,97,215,95,210,95,207,93,212,100,213,102,217,102"
"bh","140-0-0","Bahreïn","269,260,266,265,266,272,270,272,274,270"
"ae","140-220-0","Emirats Arabes Unis","275,285,282,292,293,290,303,292,307,291,325,268,328,272,329,275,330,282,323,282,326,290,319,294,319,308,315,310,282,304,281,296"
"ge","170-15-50","Géorgie","167,64,169,56,163,43,149,34,166,35,170,38,184,38,192,45,202,46,208,44,213,47,215,52,223,58,220,62,224,66,224,68,222,69,217,68,212,66,208,66,190,70,183,65,179,64,176,66"
"iq","255-80-0","Irak","204,125,210,137,214,142,221,144,220,153,211,165,212,171,217,176,218,180,231,188,236,198,236,207,240,211,246,219,242,221,235,218,231,221,226,230,203,229,191,223,192,214,187,214,180,208,175,206,160,197,143,192,138,177,165,162,167,135,174,133,186,121,191,123"
"ir","255-120-0","Iran","384,144,382,134,376,133,365,125,362,120,350,119,338,110,331,110,331,112,320,112,310,121,304,121,305,129,281,133,271,130,267,128,264,123,257,122,253,120,250,116,250,112,249,109,246,107,244,106,240,104,240,104,240,101,241,100,243,100,243,98,241,96,240,94,239,91,236,92,234,92,232,93,230,94,228,98,227,100,225,100,224,100,224,101,223,101,218,101,217,102,209,100,209,100,206,96,204,92,204,91,202,92,199,97,198,102,200,108,200,113,201,116,202,118,203,120,204,121,205,123,206,126,206,128,206,130,208,136,209,136,211,138,212,140,216,143,218,143,220,144,220,144,220,153,212,166,212,172,214,175,215,176,218,179,219,181,220,182,222,183,226,185,228,188,231,190,234,190,234,190,234,195,236,198,237,202,237,203,236,205,237,209,239,212,242,216,244,218,245,219,246,218,278,246,301,260,314,263,333,256,343,273,388,279,391,265,406,259,405,254,400,252,401,242,388,235,379,221,388,211,388,203,383,199,379,199,376,179,379,177,378,172,375,172,374,164,379,163"
"il","255-160-0","Israël","97,180,103,180,104,188,99,188,98,192,97,194,97,197,97,198,96,201,96,202,98,203,101,202,102,203,102,208,98,216,97,226,89,206,92,205,94,203,93,202,90,201"
"jo","255-240-0","Jordanie","114,227,115,224,117,222,124,221,125,218,129,214,129,212,121,204,119,203,119,201,132,198,134,198,139,197,142,195,142,190,139,183,139,181,136,181,132,184,125,187,123,189,114,193,108,188,105,188,105,200,104,208,101,215,101,217,100,223,99,227,98,229,100,229,107,230,110,231"
"kg","40-100-255","Kirghizstan","491,45,505,45,514,49,516,49,517,43,524,40,532,42,556,42,568,44,578,46,581,48,585,52,589,52,590,59,574,67,569,72,554,74,550,82,542,82,539,80,533,80,531,83,525,86,522,94,517,90,516,94,499,97,498,92,490,93,485,91,470,92,472,86,476,84,482,85,484,86,488,84,492,81,500,82,501,81,506,78,510,77,513,74,500,70,497,64,494,69,482,64,491,54,488,52"
"kw","80-100-255","Koweït","242,236,242,230,238,227,242,225,240,219,235,217,231,220,226,230,233,233,236,237"
"lb","120-100-255","Liban","97,179,108,162,111,158,114,158,118,162,116,167,113,170,109,171,110,174,103,180"
"om","220-100-255","Oman","330,283,356,297,369,311,355,335,345,351,332,363,316,374,294,378,283,350,316,340,324,317,318,308,319,293,327,291,324,282"
"uz","240-100-255","Ouzbekistan","326,12,327,66,338,67,336,60,338,55,342,54,346,53,348,50,350,50,352,48,353,46,357,46,362,52,369,53,370,64,383,68,387,66,394,73,398,88,410,94,415,100,420,100,425,106,427,108,433,110,436,110,440,112,442,114,440,122,455,124,454,119,460,112,458,106,458,99,454,100,451,95,452,92,464,91,465,85,470,83,470,76,480,75,484,70,487,76,484,78,485,82,491,82,499,82,502,79,507,77,512,75,501,70,498,66,494,70,487,66,482,64,491,55,487,52,464,70,455,68,444,68,444,60,435,58,438,44,423,31,392,35,372,13,356,4"
"pk","0-255-0","Pakistan","561,149,538,192,533,208,491,289,456,295,388,280,391,266,399,262,404,260,406,258,405,254,402,253,400,252,401,242,388,235,380,222,398,227,440,223,440,208,444,204,454,204,455,203,457,199,459,198,462,197,464,197,465,199,466,199,468,198,471,197,471,196,472,196,472,194,472,190,471,190,472,188,474,186,475,183,476,180,477,179,479,179,481,178,483,177,483,177,480,173,482,172,480,169,480,169,479,169,482,168,485,168,488,168,488,168,490,168,492,166,492,166,491,160,494,158,497,156,498,155,498,154,498,150,497,147,496,144,494,140,494,140,496,137,498,136,500,136,502,135,504,133,507,132,511,131,513,131,520,132,520,132,530,128,536,129,539,131,540,132,543,134,543,136,545,142,546,143,550,144,553,146,556,148"
"ps","40-255-0","Palestine","100,203,102,202,103,191,100,190,98,195,99,201,98,203"
"qa","120-255-0","Qatar","275,271,281,274,282,281,278,284,276,284,274,284"
"sy","240-255-0","Syrie","117,131,116,139,108,146,108,159,114,158,117,164,115,168,113,171,110,171,110,175,104,180,104,186,107,185,113,190,164,161,167,156,168,135,173,134,182,124,176,123,171,126,159,126,156,128,141,133,135,129,128,132"
"tj","0-100-50","Tadjikistan","530,106,532,113,534,119,533,123,523,125,517,122,498,132,494,124,496,118,493,112,488,108,482,114,483,119,473,121,472,127,468,123,458,128,454,124,454,120,460,112,458,106,457,98,453,100,450,95,453,92,463,91,465,86,470,84,471,76,479,76,484,71,486,75,484,78,484,81,491,82,483,86,477,84,472,86,470,91,482,92,484,90,489,93,496,91,498,96,516,94,516,91,521,92,521,107"
"tm","100-100-50","Turkmenistan","294,74,291,81,291,87,293,87,298,85,300,88,302,92,298,93,297,97,303,100,304,121,309,121,320,113,330,112,333,109,339,110,349,119,362,120,376,133,382,134,384,146,387,150,390,149,395,152,406,148,405,144,415,140,422,135,422,127,426,123,429,124,434,122,441,122,442,114,436,109,430,110,420,101,398,88,396,76,388,66,384,68,370,65,368,54,356,47,351,47,352,49,347,50,346,53,343,54,341,55,338,56,336,60,338,67,317,65,312,56,308,52,293,53,290,56,288,62,288,65,291,66,293,64,297,59,300,58,302,62,305,66,308,68,311,70,312,72,310,74,310,76,306,76,300,76"
"tr","150-100-50","Turquie","2,92,8,80,36,69,84,57,100,57,111,61,166,64,173,65,174,66,178,65,182,65,188,68,192,74,194,78,194,82,198,85,200,87,202,89,200,92,200,94,199,97,199,101,200,107,202,112,201,117,201,117,204,120,204,122,203,125,202,126,200,122,199,122,193,123,189,123,189,123,187,122,183,124,180,126,179,126,176,125,170,127,167,127,160,126,155,130,148,131,143,132,140,132,137,131,134,130,129,130,124,132,122,132,119,130,117,130,116,132,115,136,114,140,112,143,110,144,109,146,108,142,108,141,108,138,108,136,109,134,110,132,110,132,109,130,107,132,106,132,104,133,103,133,101,134,98,132,94,131,92,132,91,134,90,136,88,137,85,138,80,139,78,139,76,140,75,141,72,139,69,138,66,135,63,134,59,132,56,131,53,131,51,131,50,138,48,139,44,141,40,140,35,139,34,136,34,134,32,133,29,132,27,131,26,131,24,132,22,132,21,132,19,132,16,132,4,110"
"ye","250-100-50","Yémen","281,352,248,358,221,390,220,376,201,370,194,372,190,374,185,376,182,381,181,384,181,390,183,395,183,400,185,404,186,409,187,412,188,416,188,420,191,422,194,423,210,420,216,415,217,414,226,415,238,409,247,409,254,400,264,396,266,397,272,395,277,392,280,391,284,390,285,389,288,383,292,381,294,379"
0,"255-255-255",0,
