"code","rvb_fond","nom","poly"
"au","255-25-25","Australie","14,246,47,233,49,220,59,220,71,203,89,211,92,187,119,195,135,193,129,216,149,225,159,188,176,211,213,227,231,255,220,279,228,299,200,359,192,394,181,397,164,377,162,364,143,355,125,344,110,321,88,319,63,329,60,336,37,331,32,339,15,338,6,334,5,321,11,318,8,310,5,292,0,281,3,252"
"fj","255-25-75","Fidji","321,180,342,181,382,222,379,250,365,269,348,271,325,258,324,246,331,222,320,203,322,180"
"ki","255-25-125","Kiribati","311,120,330,106,348,112,373,132,398,129,478,144,482,129,461,113,483,92,507,107,530,143,530,199,505,200,508,186,500,181,493,174,369,168,360,155,336,154,321,145,312,120"
"mh","255-25-175","Marshall","244,64,262,26,317,28,346,48,345,110,329,106,310,119,292,111,293,106"
"fm","255-25-225","Micronésie","128,72,193,59,244,65,291,105,290,117,286,119,170,118,152,103,128,103"
"nr","255-75-25","Nauru","297,112,312,120,319,144,292,141,292,129,298,121"
"nz","255-75-75","Nouvelle-Zélande","325,327,348,350,364,356,338,388,301,437,293,441,279,419,318,364,330,354,318,332"
"pw","255-75-125","Palau","127,73,92,93,92,116,111,123,128,104"
"pg","255-75-175","Papouasie - Nouvelle Guinée","152,131,152,184,158,187,171,186,179,201,228,200,233,193,231,178,225,179,225,174,234,170,249,159,281,158,281,131"
"sb","255-75-225","Salomon","281,158,249,158,226,176,226,178,232,178,232,194,242,194,251,203,321,204,321,180,303,162"
"ws","255-125-25","Samoa","394,205,405,203,411,193,423,214,414,223"
"to","25-125-225","Tonga","382,220,375,214,376,209,383,202,393,204,416,226,401,262,388,256,371,258,380,249"
"tv","25-175-25","Tuvalu","325,155,359,155,374,175,361,198,341,180,336,180"
"vu","255-125-175","Vanuatu","287,203,307,247,325,246,331,222,321,204"
"0","0-0-0","",""
