"class","rvb_fond","nom","poly"
"ar","20-220-120","Argentine","229,299,237,296,244,297,248,301,262,314,266,312,284,325,283,330,279,335,279,341,292,344,302,343,305,343,310,338,315,329,314,326,317,328,320,339,317,343,286,369,284,374,284,380,280,405,280,411,290,420,288,423,288,427,290,429,295,428,294,438,284,454,262,458,254,459,247,456,248,481,242,483,225,478,225,493,227,493,237,494,239,496,238,497,237,498,234,501,230,505,224,512,222,519,220,525,221,528,207,535,207,542,207,547,211,550,217,550,220,555,220,562,217,565,203,576,202,585,199,589,193,594,192,603,195,613,198,617,232,653,215,658,202,653,195,648,192,617,167,612,164,596,156,595,156,584,172,547,172,521,167,500,169,492,169,467,176,451,175,435,180,430,181,413,185,411,185,401,179,378,185,376,183,369,187,365,187,350,193,343,195,340,198,339,196,319,209,311,208,308,209,302,211,296,217,295"
"bo","120-220-120","Bolivie","211,296,213,296,215,294,217,294,219,296,224,296,228,297,230,299,234,296,242,296,245,297,247,288,247,283,249,281,249,279,252,275,259,272,264,272,270,271,274,270,277,271,284,278,285,274,284,268,285,261,283,258,280,256,279,249,277,249,266,247,263,245,263,229,260,225,253,223,240,216,238,216,227,211,222,206,222,200,223,192,219,193,217,195,215,195,210,196,205,200,194,202,191,202,189,201,195,214,193,217,193,225,194,228,192,229,191,232,192,235,190,242,192,244,192,247,190,250,190,254,189,258,191,260,192,264,194,267,194,269,197,272,196,277,195,280,197,282,197,284,199,286,199,288,201,293,201,297,202,302,206,303,208,301,209,298"
"br","250-220-120","Brésil","340,72,368,109,477,155,476,183,442,221,422,299,372,318,361,355,322,406,320,402,322,396,310,380,302,376,288,368,320,340,320,326,314,325,317,314,311,307,303,309,303,296,297,293,293,294,287,293,284,287,284,280,287,273,287,265,285,257,282,251,282,246,278,242,272,243,268,243,265,241,265,232,263,222,224,205,224,186,208,193,187,197,180,197,180,182,172,189,161,184,154,170,155,164,161,162,162,157,166,151,172,149,176,147,183,145,186,144,191,115,184,108,192,100,185,99,185,95,202,95,204,99,210,99,215,101,218,102,238,92,240,88,230,74,241,77,247,78,258,72,266,66,265,71,270,73,263,88,268,93,271,98,276,100,302,93,311,90,317,93,327,92,332,90"
"cl","220-20-120","Chili","187,256,196,271,193,278,202,302,208,302,208,308,203,315,196,319,198,339,192,341,192,344,190,347,187,350,185,353,186,366,183,371,183,374,183,376,180,378,180,385,181,392,185,402,185,407,184,413,181,414,181,418,180,421,180,429,178,432,175,434,175,435,174,439,173,444,173,449,174,451,176,452,176,454,170,467,169,486,169,493,167,499,171,522,171,539,168,552,165,567,159,582,155,594,162,596,166,612,192,616,196,651,211,657,202,664,153,640,139,548,151,441,178,263"
"co","220-120-120","Colombie","170,4,141,15,120,36,118,44,124,79,112,88,109,99,121,105,127,108,135,106,142,110,154,119,159,127,169,125,181,128,182,130,179,138,184,142,189,116,183,108,188,102,184,100,184,94,202,92,207,98,210,97,202,83,207,80,200,67,204,61,204,56,189,59,184,53,174,51,164,47,157,29,166,12,175,7"
"ec","220-250-120","Equateur","100,100,114,101,121,105,128,107,136,106,140,109,139,115,137,121,130,127,127,130,119,132,115,133,112,138,112,143,109,148,107,148,104,146,99,145,97,142,97,137,101,135,101,130,96,129,94,130,92,127,92,127,92,123,91,120,91,117,95,116,96,114,97,109,98,105"
"gy","20-0-160","Guyana","270,40,260,44,262,48,257,52,256,59,260,65,261,68,267,65,269,71,269,76,268,92,272,97,276,99,279,97,283,94,288,94,291,94,293,92,297,92,290,78,286,76,283,73,284,66,288,65,290,66,292,64,293,57"
"py","20-120-160","Paraguay","293,345,303,344,305,342,306,340,309,339,311,336,311,331,312,324,314,322,314,320,315,317,313,314,305,313,302,310,302,302,301,299,298,298,288,299,284,296,284,288,282,285,282,283,281,278,277,273,266,273,260,274,253,277,251,280,251,282,249,284,249,292,247,299,256,308,262,313,266,313,269,314,272,317,277,320,279,322,284,325,286,327,286,332,284,334,283,337,281,339,281,342,288,342,291,343"
"pe","20-160-160","Pérou","96,137,89,143,91,159,101,167,103,173,109,177,131,219,131,229,147,242,171,254,173,257,176,261,187,257,189,252,191,243,189,237,190,230,193,225,191,220,193,213,194,211,187,198,180,197,180,184,170,190,165,186,159,185,159,182,152,173,151,166,154,162,158,161,159,155,163,152,163,149,171,147,176,145,182,143,184,142,178,138,183,131,176,128,168,127,162,128,158,128,154,119,146,113,137,107,137,109,140,112,140,115,137,119,133,125,129,128,123,130,113,137,110,142,110,147,107,149,104,147,99,145,96,144"
"sr","20-160-250","Surinam","292,59,317,60,314,69,315,75,318,79,316,81,315,84,315,89,307,88,302,89,301,92,295,92,291,79,286,76,284,71,285,66,290,64"
"uy","220-220-60","Uruguay","286,370,284,375,284,393,281,403,280,406,283,409,285,413,292,411,297,415,302,418,308,417,312,416,317,413,320,409,321,405,321,399,323,396,314,383,309,383,304,378,301,375,299,377,293,371"
"ve","220-60-60","Vénézuéla","167,11,156,30,165,48,185,53,188,59,204,56,205,62,201,66,206,82,202,84,205,90,212,99,216,102,230,97,238,89,231,85,229,73,240,76,261,69,261,62,255,59,259,48,262,42,271,39,265,35,261,37,259,32,261,31,255,26,247,25,245,20,250,19,243,17,232,15,232,16,184,6"
0,"0-0-0 ",0,
